topt,b2,d0,d1,d2,s,mu.opt,tmax,strain,evol.temp,evol.rep,ctmax,sharpness,inf.point,up.conc,upper.tail
25.99075156,0.035248205,0.600434078,0.000102421,0.295965389,0.02833233,1.05980486,33.05724013,16_1,16,1,33.05724548,0.017321518,17.8289829,0.00116031,7.066493922
26.25504438,0.022811017,1.12048422,2.09E-05,0.338413222,0.049547741,0.967257985,33.02574743,16_1,16,1,33.02687936,0.016116562,17.71017102,0.000735941,6.771834983
26.22655371,0.022619323,1.072329658,1.78E-05,0.3430441,0.050796663,0.965635395,33.00351962,16_1,16,1,33.00218444,0.015795795,17.7389739,0.000709897,6.775630734
25.91865365,0.018468884,1.864858291,4.64E-05,0.318251197,0.040645333,1.013371467,32.84593095,16_1,16,1,32.84686828,0.016923237,16.42124212,0.000691464,6.928214635
26.30554032,0.030050902,0.938655969,2.95E-05,0.334340532,0.057791273,1.032789156,32.77300628,16_1,16,1,32.77340606,0.019802248,18.3870387,0.00110643,6.467865742
25.61566048,0.094506515,0.001830486,0.011176634,0.180026425,0.044254095,1.015972372,33.14623657,16_1,16,1,33.14625077,0.017320847,18.0810081,0.002187855,7.53059029
26.03766442,0.027499694,0.918060569,7.59E-05,0.301204144,0.057466936,1.004842945,33.17196636,16_1,16,1,33.17322721,0.015937681,17.29252925,0.000899464,7.135562792
26.4298042,0.080529065,0.001964171,0.000456569,0.261421194,0.040016419,1.025222654,32.9349563,16_1,16,1,32.93495576,0.021627568,19.92079208,0.002334735,6.505151556
25.95503682,0.055704898,0.079423739,0.00018033,0.280643328,0.046138633,0.981502494,32.95939876,16_1,16,1,32.95939877,0.016585486,18.76507651,0.001477916,7.00436195
25.8615415,0.018083755,1.896291671,4.15E-05,0.322217499,0.05748692,1.008186015,32.74925456,16_1,16,1,32.74681894,0.016913469,16.39243924,0.000673974,6.885277444
26.17257674,0.042814106,0.257148818,4.49E-05,0.320112207,0.047954145,1.009256243,32.9180246,16_1,16,1,32.91753723,0.017331608,18.91629163,0.001246151,6.744960495
26.55354976,0.062695218,0.054519242,6.11E-05,0.314668526,0.052941621,0.989972595,32.84251682,16_1,16,1,32.84252592,0.02060055,20.15121512,0.001839733,6.288976159
25.42767537,0.074753174,0.007351657,0.001751526,0.223518335,0.060236749,1.017410957,32.77172815,16_1,16,1,32.77173556,0.017130976,18.06660666,0.001904711,7.344060194
26.06981553,0.018406671,1.69813807,4.16E-05,0.317875731,0.05227087,0.993056254,33.11733574,16_1,16,1,33.11287893,0.015730465,16.55805581,0.00064166,7.043063399
26.43134166,0.050372675,0.095492156,3.03E-05,0.331174469,0.046654072,0.973437202,32.93797162,16_1,16,1,32.93808521,0.01783464,19.72637264,0.001380874,6.506743554
26.51865984,0.046672535,0.231888825,2.63E-05,0.335709372,0.049278386,0.96686636,32.8881703,16_1,16,1,32.88753711,0.018770275,19.6939694,0.001379005,6.368877272
25.95623135,0.091924166,0.042975584,0.004675175,0.202379401,0.061894524,1.030782049,32.99690058,16_1,16,1,32.99690027,0.019968446,18.81188119,0.002439463,7.040668921
25.59839022,0.063515579,0.188241885,0.002215374,0.212782608,0.055778089,1.019810949,33.23099416,16_1,16,1,33.23098909,0.016327612,17.49774977,0.001741833,7.632598869
25.85109459,0.057915881,0.094437602,0.000366693,0.261185378,0.040744203,1.006854185,33.03973219,16_1,16,1,33.03973182,0.016656284,18.4410441,0.001565791,7.188637231
25.6298671,0.048058037,0.423373671,0.000361996,0.264594923,0.061533541,1.014272617,32.63517949,16_1,16,1,32.6351988,0.018287242,17.75337534,0.001557227,7.005331705
