date,ident,evol.temp,assay.temp,evol.rep,assay.rep,conc.N,gr.rate,errs,sds,comments
92516,323,31,16,1,2,90,0.73748,0.01093,0.02678,ok
92516,324,31,16,1,3,90,0.69678,0.0121,0.02963,ok
92516,325,31,16,1,1,150,0.68484,0.01141,0.02795,ok
92516,326,31,16,1,2,150,0.58816,0.03245,0.07948,ok
92516,327,31,16,1,3,150,0.6474,0.03111,0.07621,ok
111616,328,31,16,1,1,882,0.64701,0.02008,0.04918,ok
111616,329,31,16,1,2,882,0.67643,0.06399,0.15675,ok
111616,330,31,16,1,3,882,0.7146,0.05592,0.13698,ok
102415,331,31,16,2,1,0,0.10942,0.01817,0.0445,ok
102415,332,31,16,2,2,0,0.12964,0.01628,0.03989,ok
102415,333,31,16,2,3,0,0.1076,0.02078,0.0509,ok
102415,334,31,16,2,1,2.5,0.09994,0.01493,0.03658,ok
102415,335,31,16,2,2,2.5,0.10165,0.01239,0.03035,ok
102415,336,31,16,2,3,2.5,0.08983,0.02018,0.04943,ok
102415,337,31,16,2,1,5,0.15126,0.00693,0.01697,ok
102415,338,31,16,2,2,5,0.14994,0.01278,0.0313,ok
102415,339,31,16,2,3,5,0.16141,0.01132,0.02773,ok
102415,340,31,16,2,1,10,0.32157,0.04373,0.1071,ok
102415,341,31,16,2,2,10,0.34028,0.03763,0.09218,ok
102415,342,31,16,2,3,10,0.30412,0.04492,0.11004,ok
102415,343,31,16,2,1,20,0.46058,0.00882,0.02159,ok
102415,344,31,16,2,2,20,0.4956,0.06283,0.1539,ok
102415,345,31,16,2,3,20,0.42911,0.00874,0.02141,ok
102415,346,31,16,2,1,40,0.57178,0.01562,0.03826,ok
102415,347,31,16,2,2,40,0.5876,0.09097,0.22283,ok
102415,348,31,16,2,3,40,0.54642,0.04288,0.10503,ok
102415,349,31,16,2,1,60,0.58125,0.03054,0.07481,ok
102415,350,31,16,2,2,60,0.56409,0.01368,0.03352,ok
102415,351,31,16,2,3,60,0.61095,0.06261,0.15337,ok
102415,352,31,16,2,1,90,0.64689,0.01158,0.02836,ok
102415,353,31,16,2,2,90,0.61769,0.02506,0.06138,ok
102415,354,31,16,2,3,90,0.64241,0.00867,0.02124,ok
102415,355,31,16,2,1,150,0.80097,0.00331,0.00811,ok
102415,356,31,16,2,2,150,0.75468,0.00644,0.01578,ok
102415,357,31,16,2,3,150,0.80929,0.01202,0.02944,ok
102415,358,31,16,2,1,882,0.8047,0.00071,0.00173,ok
102415,359,31,16,2,2,882,0.82137,0.02283,0.05592,ok
102415,360,31,16,2,3,882,0.81428,0.00759,0.01858,ok
102415,361,31,16,3,1,0,0.18667,0.02229,0.05461,ok
102415,362,31,16,3,2,0,0.18823,0.03759,0.09207,ok
102415,363,31,16,3,3,0,0.14662,0.01935,0.0474,ok
102415,364,31,16,3,1,2.5,0.13786,0.02385,0.05842,ok
102415,365,31,16,3,2,2.5,0.18437,0.01941,0.04755,ok
102415,366,31,16,3,3,2.5,0.1364,0.02285,0.05596,ok
102415,367,31,16,3,1,5,0.17451,0.02088,0.05115,ok
102415,368,31,16,3,2,5,0.17492,0.01074,0.0263,ok
102415,369,31,16,3,3,5,0.16472,0.01019,0.02496,ok
102415,370,31,16,3,1,10,0.38555,0.02689,0.06587,ok
102415,371,31,16,3,2,10,0.37927,0.03052,0.07477,ok
102415,372,31,16,3,3,10,0.32157,0.03744,0.09171,ok
102415,373,31,16,3,1,20,0.43614,0.02141,0.05244,ok
102415,374,31,16,3,2,20,0.437,0.02832,0.06936,ok
102415,375,31,16,3,3,20,0.4348,0.07351,0.18006,ok
102415,376,31,16,3,1,40,0.60371,0.03986,0.09762,ok
102415,377,31,16,3,2,40,0.51083,0.03397,0.08321,ok
102415,378,31,16,3,3,40,0.6002,0.03533,0.08655,ok
102415,379,31,16,3,1,60,0.55512,0.06976,0.17089,ok
102415,380,31,16,3,2,60,0.54621,0.02688,0.06584,ok
102415,381,31,16,3,3,60,0.5838,0.02587,0.06337,ok
102415,382,31,16,3,1,90,0.61309,0.18201,0.44583,ok
102415,383,31,16,3,2,90,0.54284,0.03864,0.09465,ok
102415,384,31,16,3,3,90,0.65959,0.03593,0.08802,ok
102415,385,31,16,3,1,150,0.72151,0.0414,0.10142,ok
102415,386,31,16,3,2,150,0.73836,0.0489,0.11977,ok
102415,387,31,16,3,3,150,0.73733,0.04628,0.11335,ok
102415,388,31,16,3,1,882,0.72522,0.02154,0.05275,ok
102415,389,31,16,3,2,882,0.83865,0.0186,0.04556,ok
102415,390,31,16,3,3,882,0.70046,0.01642,0.04023,ok
112116,391,31,16,4,1,0,0.04447,0.03783,0.09267,ok
112116,392,31,16,4,2,0,-0.01177,0.03304,0.08093,ok
112116,393,31,16,4,3,0,-0.0099,0.01693,0.04147,ok
112116,394,31,16,4,1,2.5,0.0087,0.02459,0.06024,ok
112116,395,31,16,4,2,2.5,0.0164,0.0278,0.06809,ok
112116,396,31,16,4,3,2.5,0.02805,0.0266,0.06514,ok
112116,397,31,16,4,1,5,0.029,0.00027,0.00065,ok
112116,398,31,16,4,2,5,0.02733,0.02398,0.05875,ok
112116,399,31,16,4,3,5,0.03122,0.0271,0.06637,ok
112116,400,31,16,4,1,10,0.04436,0.01383,0.03388,ok
112116,401,31,16,4,2,10,0.055,0.03851,0.09432,ok
112116,402,31,16,4,3,10,0.05813,0.00469,0.01148,ok
